E11f,E22f,nu12f,G12f,G23f,EM,num,Vf,E11,E22,NU12,G12,G23
296.9480129,15.86269123,0.347629034,11.18571718,9.476889669,17.28289918,0.458601633,0.4027,129.9040405,16.35375447,0.413912967,8.445198228,7.773625794
374.6313377,20.66718066,0.293546694,23.37230923,12.84077075,12.81186544,0.464704822,0.3035,122.6240753,16.20509568,0.41275833,7.920480116,6.868742947
526.7098518,14.62594881,0.261040775,9.607362559,9.067336619,3.350763216,0.478028595,0.5954,314.9587646,8.270331223,0.348834047,3.54871716,3.489483622
280.6795154,17.12684085,0.304508523,21.73824956,10.83450199,3.00274751,0.327919148,0.4027,114.8231819,6.299402365,0.318491689,2.837771103,2.619392065
206.8639853,24.16080128,0.323705232,8.76179447,13.23640703,12.68908736,0.364717984,0.4027,90.88331876,18.16115135,0.348202149,6.621316253,7.902431319
599.6836298,11.58629888,0.34912221,31.64762757,8.658102325,1.514618801,0.315818022,0.5895,354.1352508,4.554146315,0.335450841,2.337951088,2.031929484
383.1152074,26.9513662,0.351134256,28.85062547,17.1224882,5.718172329,0.431505295,0.6946,267.8581529,16.6517146,0.375679571,8.905620685,7.57143386
357.5225584,21.77247241,0.396951232,11.05318676,14.21608647,16.85074991,0.474914942,0.7004,255.4572846,20.78243666,0.42030916,9.590717659,11.43880599
469.675398,13.87055368,0.37821193,22.78373016,10.39318989,6.187163741,0.487170358,0.7004,330.814323,11.53434906,0.410855875,8.685120304,6.292041346
556.5031116,22.84118991,0.277882445,17.74429872,14.56334746,9.130955208,0.331777556,0.3035,175.2584047,13.6420996,0.31542039,6.170941465,5.923076536
274.8248442,25.3303841,0.346557459,25.76581447,18.80079749,18.95433673,0.389190917,0.3035,96.61103575,22.00594783,0.376251662,11.46650532,10.51175928
369.2305906,20.98047412,0.221666679,26.37751758,12.19836015,4.107522984,0.475187654,0.6946,257.7220058,12.45684438,0.299091985,6.611860607,5.319994956
510.5349764,11.82373218,0.251418091,13.67549299,7.621225011,15.95398989,0.428434381,0.3035,166.0593193,13.3792484,0.374709937,8.284808562,6.548592857
411.4976894,12.03072562,0.378720887,11.84315843,6.433526608,12.37723068,0.335089206,0.6012,252.3284505,12.1068605,0.361320573,8.777328772,5.917850019
256.5370794,20.89649721,0.321927794,17.8308991,13.37464085,10.74027144,0.348795774,0.3035,85.33960266,14.66760028,0.340641342,6.959288428,6.494050787
327.6964639,23.07565417,0.286343611,36.98525159,13.51711657,11.36770589,0.395156767,0.7004,232.924368,19.75684631,0.318944033,15.95847639,9.808851763
343.7039148,23.17379147,0.381828051,34.58032383,15.73661343,12.44025114,0.437373153,0.3035,112.9787731,16.70207735,0.420515215,8.353571071,7.205333632
284.2991615,21.29986686,0.207203509,11.09332638,12.55292867,6.522245359,0.3701397,0.4027,118.3830095,11.6524716,0.304525296,4.745397916,4.900063189
593.1645844,28.86928821,0.34531658,15.05393014,15.95620862,6.740975444,0.452984508,0.4027,242.8937628,13.12522334,0.409626633,5.008002171,5.068507893
